"ID","Bird_species","Tree_species","Type.of.Interaction","Plant_family","Plant_genus","Plant_specific.epiteth","Plant_distribution","Plant_origin","Plant_Form","fruit_diameter","fruit_length","seed_diameter","seed_length","Fruit_color","Lipid_Score","Plants_IUCN","Frug_Class","Frug_Order","Frug_Family","Frug_Genus","Frug_Epitetus","Frug_Group","Frug_Body_Mass","Frug_Mean_Gape_Size","Frugivory_score","Frug_Migration_status","Frug_IUCN","Frug_Population_Trend","Study_Location","Latitude_y","Longitude_x","Precision","Study.reference","Doi.Link","Study_Method","data_source"
7002,"Crotophaga ani","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Cuculiformes","Cuculidae","Crotophaga","ani","Small birds",111.7333333,NA,1,"RES","LC","Decreasing",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7003,"Sicalis flaveola","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Thraupidae","Sicalis","flaveola","Small birds",17,NA,1,NA,"LC","Stable",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7004,"Elaenia flavogaster","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Tyrannidae","Elaenia","flavogaster","Small birds",24.8,8.35,2,"RES","LC","Stable",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7005,"Guira guira","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Cuculiformes","Cuculidae","Guira","guira","Small birds",141,NA,1,"RES","LC","Increasing",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7006,"Myiodynastes maculatus","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Tyrannidae","Myiodynastes","maculatus","Small birds",43.2,14.61483871,1,"MIG","LC","Stable",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7007,"Tyrannus melancholicus","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Tyrannidae","Tyrannus","melancholicus","Small birds",37.4,11.35833333,1,"MIG","LC","Increasing",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7008,"Tangara palmarum","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Thraupidae","Thraupis","palmarum","Small birds",39,8.283986928,2,"RES","LC","Stable",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7009,"Patagioenas picazuro","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Columbiformes","Columbidae","Patagioenas","picazuro","Large birds",279,11.502,1,"RES","LC","Increasing",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7010,"Chrysomus ruficapillus","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Icteridae","Chrysomus","ruficapillus","Small birds",32,NA,1,"RES","LC","Stable",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
7011,"Thraupis episcopus","Acacia auriculiformis","Mutualistic","Fabaceae","Acacia","auriculiformis","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","invasive","tree",15,65,2.5,4,"black",2,"NE","Aves","Passeriformes","Thraupidae","Thraupis","episcopus","Small birds",35,10.1,2,NA,"LC","Stable",NA,-22.766667,-43.683333,"preciso","Silva R 2007","http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788","Network study","Atlantic Frugivory"
