Intercept;Maximum_height;Leaf_area;Anemochoric;Zoochoric;Climax;Early_secondary;Late_secondary;Central_sa;Eastern_sa;Local_endemic;Neotropical;Pantropical;Regional_endemic;Sa;Southern_sa;Seed_length;Wood_density;Leaf_type
1;30;0.944210952;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.124880835;0.585;1
1;21;0.204289593;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.187019834;0.513;1
1;12.9515;1.092887149;0;1;0;0;0;0;1;0;0;0;0;0;0;-0.555799011;0.75;0
1;23.6;0.125538803;1;0;0;1;0;0;0;0;0;0;1;0;0;0.190359716;0.796;1
1;17;2.33005777;0;1;0;0;0;0;0;0;1;0;0;0;0;0.499700826;0.781;1
1;16;1.398540075;0;0;0;0;1;0;0;0;1;0;0;0;0;-0.2153114;0.907;0
1;18;2.234046998;0;1;0;0;0;0;0;0;0;0;0;1;0;-0.17602612;0.503545455;0
1;6.85;1.94041286;0;1;0;0;0;0;0;0;0;0;0;1;0;-0.300943145;0.6064;0
1;20;1.297407284;0;1;0;0;1;0;0;0;1;0;0;0;0;0.142003394;0.8501;0
1;16.8;1.087029691;0;1;0;0;1;0;0;0;0;0;0;1;0;0.30105171;0.785;0
1;21.8;1.47862459;0;1;0;0;1;0;1;0;0;0;0;0;0;0.047313816;0.447;0
1;28.6;-0.92881886;1;0;0;1;0;0;0;0;0;0;0;1;0;0.041432165;0.549641026;1
1;24.5;-1.061575488;1;0;0;1;0;0;0;0;1;0;0;0;0;-0.055221319;0.576;1
1;40;-0.665577425;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.136617652;0.515875;1
1;25;0.950324826;1;0;0;1;0;0;1;0;0;0;0;0;0;-0.072578305;0.5885;1
1;25;1.987195459;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.632457726;0.396001056;0
1;30;2.174867002;0;1;0;1;0;0;0;0;0;0;1;0;0;-0.300943145;0.3515;0
1;30;1.672641591;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.264853726;0.427916385;0
1;8.2;1.885943543;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.236497135;0.6525;0
1;19.365;1.424611997;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.203402542;0.57725;1
1;14;1.143894417;0;1;0;0;1;0;0;0;0;0;1;0;0;-0.138323161;0.54452381;1
1;20;1.713784999;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.079129134;0.524666667;1
1;15.8;0.950205301;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.138323161;0.54452381;1
1;20;1.681801385;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.042504453;0.5795;1
1;8;1.423009645;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.368962303;0.54452381;1
1;12.2;1.694430431;1;0;0;0;0;0;0;0;0;0;0;1;0;0.522457275;0.6;0
1;20;1.728993639;1;0;0;1;0;0;1;0;0;0;0;0;0;-0.505011026;0.85;0
1;25;1.77561766;1;0;0;1;0;0;0;0;0;0;1;0;0;-0.187019834;0.6844;0
1;30.644;0.972222541;1;0;1;0;0;0;1;0;0;0;0;0;0;-1.482804102;0.1555;1
1;15;1.146728102;1;0;0;0;1;0;1;0;0;0;0;0;0;-1.407823243;0.1555;1
1;17.3;1.735519676;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.337147767;0.634728571;0
1;20;1.720578857;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.341416285;0.635025122;0
1;22.2;0.824508807;1;0;0;1;0;0;1;0;0;0;0;0;0;0.247997802;0.530538462;1
1;11;1.317679721;0;0;0;0;1;0;0;0;1;0;0;0;0;-0.411056357;0.71;0
1;12.8;1.775903474;0;1;0;1;0;0;0;0;0;0;0;1;0;0.30105171;0.527857143;0
1;30;-1.571837459;1;0;0;1;0;0;0;0;0;0;0;1;0;0.053116875;0.847705882;1
1;24.1;-1.450092078;1;0;0;1;0;0;0;0;1;0;0;0;0;0.201424438;0.77375;1
1;12.6;2.335698551;0;1;0;0;1;0;0;0;1;0;0;0;0;-0.221776373;0.58;0
1;25;1.278216274;0;1;0;1;0;0;1;0;0;0;0;0;0;0.574042849;0.802;1
1;19;1.215366021;0;1;0;1;0;1;0;0;0;0;0;0;0;0.663835935;0.739;1
1;15;1.075419859;0;1;0;1;0;0;1;0;0;0;0;0;0;0.604992414;0.7252;1
1;35;1.23527766;0;1;0;1;0;0;0;0;1;0;0;0;0;0.663835935;0.654363636;1
1;25;1.288292045;0;1;0;1;0;0;0;0;0;0;1;0;0;0.563492951;0.84;1
1;30;1.500308707;0;1;0;1;0;0;0;0;0;0;1;0;0;0.663835935;0.722;1
1;16.2;1.431648324;0;1;0;0;1;0;0;0;0;0;0;1;0;0.602070849;0.733888889;1
1;22.4;1.620898279;0;1;0;0;1;0;1;0;0;0;0;0;0;0.332458659;0.53796;0
1;12.4;2.041217917;0;1;0;0;1;0;1;0;0;0;0;0;0;0.261286665;0.6651;0
1;22;1.687654695;0;1;0;1;0;0;1;0;0;0;0;0;0;0.110623375;0.4828;0
1;9.2;1.877361114;0;1;0;1;0;0;0;0;0;0;0;1;0;0.224040739;0.505;0
1;13.75;1.694753446;0;1;0;1;0;0;1;0;0;0;0;0;0;0.205502095;0.426;0
1;24.3;1.534731982;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.162664132;0.386666667;0
1;20;1.441467568;0;1;0;1;0;0;0;0;0;0;0;1;0;0.021230658;0.465666667;0
1;21;1.925234023;0;1;0;1;0;0;0;0;1;0;0;0;0;0.135164467;0.515;0
1;20;1.355611874;0;1;0;1;0;0;0;0;0;0;0;0;1;0.113976758;0.61;0
1;22;1.599065743;0;1;0;1;0;0;0;0;0;0;1;0;0;-0.093252054;0.417865009;0
1;14.264;1.615249185;0;1;0;1;0;0;0;0;0;0;1;0;0;0.069335035;0.6;0
1;17.3;1.576104865;0;1;0;1;0;0;1;0;0;0;0;0;0;0.169556882;0.413842875;0
1;23.7;2.267101072;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.259558355;0.4596;0
1;24.5;2.190745258;0;0;0;0;0;0;0;0;1;0;0;0;0;-0.584859648;0.27475;0
1;35;0.816581271;1;0;0;1;0;0;0;0;0;0;0;1;0;-0.20059052;0.7869;1
1;47.6;0.224463604;0;1;0;1;0;0;1;0;0;0;0;0;0;0.829310207;0.503;0
1;33.66;1.244092072;1;0;0;1;0;0;1;0;0;0;0;0;0;0.574042849;0.7305;0
