x;y;ecoreg
-35.870639;-9.214444;7
-35.786727;-9.240635;7
-53.987152;-26.518318;2
-39.443798;-17.394964;3
-39.443486;-17.394589;3
-39.176667;-16.365833;3
-44.231817;-13.488036;5
-44.236944;-13.499172;5
-39.466443;-12.892581;4
-39.088572;-14.778295;3
-45.860708;-14.679701;6
-45.883333;-14.7;6
-40.113093;-13.949583;4
-39.54168;-15.167419;3
-41.411605;-12.556606;5
-39.516467;-17.243869;3
-38.401213;-12.929102;3
-38.45902;-12.882969;3
-38.905714;-4.32176;5
-40.930285;-5.141357;5
-38.486111;-3.798611;5
-38.916667;-4.25;5
-38.94647901;-4.246405821;5
-39.000489;-4.285537;5
-47.825948;-15.863968;6
-47.828537;-15.885321;6
-47.910407;-15.958815;6
-48.011086;-15.727502;6
-47.934452;-15.957548;6
-47.921925;-15.791092;6
-47.861667;-15.557778;6
-48.161111;-15.506117;6
-47.934452;-15.957548;6
-47.843078;-15.888051;6
-47.949091;-15.948194;6
-47.569304;-15.829712;6
-47.883593;-15.93242;6
-47.878639;-15.931849;6
-47.708367;-15.591691;6
-48.015278;-15.906111;6
-48.015278;-15.906111;6
-48.015278;-15.906111;6
-47.906001;-15.924497;6
-41.46839116;-20.76464479;4
-40.152778;-19.675;3
-39.718889;-18.421111;3
-41.220908;-20.718568;4
-41.709954;-20.89205;4
-40.411093;-20.603233;3
-40.41513;-20.607789;3
-40.817324;-20.941058;4
-40.010743;-19.151715;3
-40.17896;-19.248222;3
-41.290191;-20.745917;3
-41.285839;-20.743437;3
-39.873582;-18.426189;3
-40.2226245;-20.1598985;3
-40.122508;-19.016645;3
-46.548553;-12.996822;6
-48.674112;-17.782495;6
-46.738301;-13.68563;6
-46.289183;-13.585;6
-46.698193;-13.824536;6
-46.496667;-13.519722;6
-46.755792;-13.653695;6
-49.131896;-16.544577;6
-49.131406;-16.534554;6
-49.131406;-16.534554;6
-49.130278;-16.540556;6
-46.487556;-14.064778;6
-49.09196969;-18.35682341;1
-49.073889;-18.348333;1
-52.277301;-17.6652;6
-46.659444;-13.147222;6
-46.659444;-13.146117;6
-51.931791;-16.616103;6
-48.837511;-15.790103;6
-48.42509;-18.585363;1
-46.41697864;-20.67657456;6
-42.110052;-16.910799;6
-48.384167;-18.497222;6
-48.419415;-18.652027;1
-48.115487;-18.798178;1
-48.115682;-18.791726;1
-48.182653;-18.650934;1
-48.283459;-18.526441;6
-42.478729;-20.714414;4
-45.61159;-20.315804;4
-45.6621;-20.260497;4
-46.161245;-15.841027;6
-44.730383;-22.147416;9
-44.74698;-21.990383;9
-45.959;-20.2835;6
-44.539861;-22.217917;9
-44.902778;-21.1575;1
-44.970844;-15.336107;6
-43.670555;-20.473683;4
-45.834487;-16.94681;6
-45.819143;-16.941359;6
-45.846248;-17.030367;6
-45.011943;-17.465574;6
-45.9585;-22.7812;9
-45.931667;-22.710833;9
-46.058324;-22.887067;9
-45.93083;-22.71111;9
-44.81349;-16.536698;5
-49.130591;-18.791085;6
-43.71173803;-16.1514318;5
-43.903126;-20.978956;1
-47.509722;-18.750556;6
