"Species","species.common","family.common","Class","Order","Family","Genus","g_sp"
"Anabacerthia lichtensteini","Ochre-breasted Foliage-gleaner","Ovenbirds","Aves","Passeriformes","Furnariidae","Anabacerthia","Ana.lichtensteini"
"Platyrinchus mystaceus","White-throated Spadebill","Tyrant Flycatchers, Calyptura","Aves","Passeriformes","Tyrannidae","Platyrinchus","Pla.mystaceus"
"Pyriglena leucoptera","White-shouldered Fire-eye","Antbirds","Aves","Passeriformes","Thamnophilidae","Pyriglena","Pyr.leucoptera"
"Schiffornis virescens","Greenish Schiffornis","Tityras, Becards, Sharpbill","Aves","Passeriformes","Tityridae","Schiffornis","Sch.virescens"
"Sclerurus scansor","Rufous-breasted Leaftosser","Ovenbirds","Aves","Passeriformes","Furnariidae","Sclerurus","Scl.scansor"
"Synallaxis ruficapilla","Rufous-capped Spinetail","Ovenbirds","Aves","Passeriformes","Furnariidae","Synallaxis","Syn.ruficapilla"
"Syndactyla rufosuperciliata","Buff-browed Foliage-gleaner","Ovenbirds","Aves","Passeriformes","Furnariidae","Syndactyla","Syn.rufosuperciliata"
"Tachyphonus coronatus","Ruby-crowned Tanager","Tanagers & Allies","Aves","Passeriformes","Thraupidae","Tachyphonus","Tac.coronatus"
"Thamnophilus caerulescens","Variable Antshrike","Antbirds","Aves","Passeriformes","Thamnophilidae","Thamnophilus","Tha.caerulescens"
"Trichothraupis melanops","Black-goggled Tanager","Tanagers & Allies","Aves","Passeriformes","Thraupidae","Trichothraupis","Tri.melanops"
"Turdus albicollis","White-necked Thrush","Thrushes","Aves","Passeriformes","Turdidae","Turdus","Tur.albicollis"
"Turdus rufiventris","Rufous-bellied Thrush","Thrushes","Aves","Passeriformes","Turdidae","Turdus","Tur.rufiventris"
"Xiphocolaptes albicollis","White-throated Woodcreeper","Ovenbirds","Aves","Passeriformes","Furnariidae","Xiphocolaptes","Xip.albicollis"
"Chamaeza campanisona","Short-tailed Antthrush","Antthrushes","Aves","Passeriformes","Formicariidae","Chamaeza","Cha.campanisona"
"Chiroxiphia caudata","Blue Manakin","Manakins","Aves","Passeriformes","Pipridae","Chiroxiphia","Chi.caudata"
"Conopophaga lineata","Rufous Gnateater","Gnateaters","Aves","Passeriformes","Conopophagidae","Conopophaga","Con.lineata"
"Dendrocolaptes platyrostris","Planalto Woodcreeper","Ovenbirds","Aves","Passeriformes","Furnariidae","Dendrocolaptes","Den.platyrostris"
"Drymophila ochropyga","Ochre-rumped Antbird","Antbirds","Aves","Passeriformes","Thamnophilidae","Drymophila","Dry.ochropyga"
"Dysithamnus mentalis","Plain Antvireo","Antbirds","Aves","Passeriformes","Thamnophilidae","Dysithamnus","Dys.mentalis"
"Euphonia pectoralis","Chestnut-bellied Euphonia","Finches, Euphonias","Aves","Passeriformes","Fringillidae","Euphonia","Eup.pectoralis"
"Habia rubica","Red-crowned Ant Tanager","Cardinals & Allies","Aves","Passeriformes","Cardinalidae","Habia","Hab.rubica"
"Lathrotriccus euleri","Euler's Flycatcher","Tyrant Flycatchers, Calyptura","Aves","Passeriformes","Tyrannidae","Lathrotriccus","Lat.euleri"
"Basileuterus culicivorus","Golden-crowned Warbler","New World Warblers","Aves","Passeriformes","Parulidae","Basileuterus","Bas.culicivorus"
"Leptopogon amaurocephalus","Sepia-capped Flycatcher","Tyrant Flycatchers, Calyptura","Aves","Passeriformes","Tyrannidae","Leptopogon","Lep.amaurocephalus"
"Lochmias nematura","Sharp-tailed Streamcreeper","Ovenbirds","Aves","Passeriformes","Furnariidae","Lochmias","Loc.nematura"
"Myiobius barbatus","Whiskered Myiobius","Tityras, Becards, Sharpbill","Aves","Passeriformes","Tityridae","Myiobius","Myi.barbatus"
"Myrmoderus squamosus","Squamate Antbird","Antbirds","Aves","Passeriformes","Thamnophilidae","Myrmoderus","Myr.squamosus"
"Rhopias gularis","Star-throated Antwren","Antbirds","Aves","Passeriformes","Thamnophilidae","Rhopias","Rho.gularis"
"Neopelma chrysolophum","Serra do Mar Tyrant-Manakin","Manakins","Aves","Passeriformes","Pipridae","Neopelma","Neo.chrysolophum"
"Onychorhynchus swainsoni","Atlantic Royal Flycatcher","Tityras, Becards, Sharpbill","Aves","Passeriformes","Tityridae","Onychorhynchus","Ony.swainsoni"
"Myiothlypis leucoblephara","White-rimmed Warbler","New World Warblers","Aves","Passeriformes","Parulidae","Myiothlypis","Myi.leucoblephara"
"Anabacerthia amaurotis","White-browed Foliage-gleaner","Ovenbirds","Aves","Passeriformes","Furnariidae","Anabacerthia","Ana.amaurotis"
"Anabazenops fuscus","White-collared Foliage-gleaner","Ovenbirds","Aves","Passeriformes","Furnariidae","Anabazenops","Ana.fuscus"
"Automolus leucophthalmus","White-eyed Foliage-gleaner","Ovenbirds","Aves","Passeriformes","Furnariidae","Automolus","Aut.leucophthalmus"
"Xiphorhynchus fuscus","Lesser Woodcreeper","Ovenbirds","Aves","Passeriformes","Furnariidae","Xiphorhynchus","Xip.fuscus"
"Sittasomus griseicapillus","Olivaceous Woodcreeper","Ovenbirds","Aves","Passeriformes","Furnariidae","Sittasomus","Sit.griseicapillus"
"Attila rufus","Grey-hooded Attila","Tyrant Flycatchers, Calyptura","Aves","Passeriformes","Tyrannidae","Attila","Att.rufus"
"Batara cinerea","Giant Antshrike","Antbirds","Aves","Passeriformes","Thamnophilidae","Batara","Bat.cinerea"
"Carpornis cucullata","Hooded Berryeater","Cotingas","Aves","Passeriformes","Cotingidae","Carpornis","Car.cucullata"
"Cichlocolaptes leucophrus","Pale-browed Treehunter","Ovenbirds","Aves","Passeriformes","Furnariidae","Cichlocolaptes","Cic.leucophrus"
"Conopophaga melanops","Black-cheeked Gnateater","Gnateaters","Aves","Passeriformes","Conopophagidae","Conopophaga","Con.melanops"
"Dendrocincla turdina","Plain-winged Woodcreeper","Ovenbirds","Aves","Passeriformes","Furnariidae","Dendrocincla","Den.turdina"
"Elaenia mesoleuca","Olivaceous Elaenia","Tyrant Flycatchers, Calyptura","Aves","Passeriformes","Tyrannidae","Elaenia","Ela.mesoleuca"
"Formicarius colma","Rufous-capped Antthrush","Antthrushes","Aves","Passeriformes","Formicariidae","Formicarius","For.colma"
"Grallaria varia","Variegated Antpitta","Antpittas","Aves","Passeriformes","Grallariidae","Grallaria","Gra.varia"
